ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
7.09639,-5.93599,3.50513,9.89346,0.524798
7.01025,-6.18721,3.68696,10.0508,0.360484
6.96719,-6.38818,3.84966,10.2064,0.240068
6.95762,-6.58437,3.97407,10.3709,0.132145
7.07725,-6.85952,4.04824,10.655,0.072357
7.14424,-7.10835,4.13438,10.8932,0.008629
7.16577,-7.13706,4.23008,10.9626,0.059175
7.15381,-6.97197,4.35689,10.8981,0.241527
7.10117,-6.81167,4.46934,10.8074,0.200472
6.99351,-6.7064,4.55547,10.7069,0.122603
6.83799,-6.67529,4.60093,10.6059,0.252832
6.65376,-6.70161,4.56982,10.4913,0.586447
6.48389,-6.76382,4.46934,10.381,0.674767
6.33076,-6.81646,4.321,10.2574,0.540535
6.2542,-6.86909,4.13438,10.1682,0.606962
6.26856,-6.9002,3.91187,10.1099,0.879169
6.33555,-6.89302,3.68696,10.0621,1.01343
6.4145,-6.8356,3.50752,10.0087,0.938845
6.46475,-6.69922,3.32329,9.88518,0.90686
6.50303,-6.55566,3.18691,9.76844,0.955714
6.56045,-6.46235,3.08164,9.71072,0.980602
6.61548,-6.40254,3.00508,9.6844,1.0237
6.75185,-6.44082,2.94048,9.78356,1.18556
6.96958,-6.56523,2.89023,10.0015,1.42664
7.16816,-6.6418,2.84717,10.1785,1.57698
7.29976,-6.58437,2.82564,10.2286,1.42957
7.35239,-6.44082,2.82564,10.1748,0.924949
7.37153,-6.27813,2.82085,10.0852,0.364003
7.39067,-6.14653,2.79453,10.0106,0.082449
7.42656,-6.06279,2.74429,9.97208,0.026826
7.49355,-6.05801,2.67012,9.99912,0.053609
7.55098,-6.03648,2.57202,10.0036,0.141358
7.58926,-5.99341,2.48828,9.98545,0.250433
7.61318,-5.9312,2.40693,9.94651,0.323681
7.62515,-5.88574,2.34233,9.91319,0.353301
7.69692,-5.93838,2.30405,9.99078,0.419312
7.76392,-5.93599,2.28013,10.0356,0.659531
7.77109,-5.82353,2.27056,9.97291,1.0972
7.72563,-5.66323,2.30166,9.85166,1.37434
7.68496,-5.58667,2.36147,9.7901,1.10273
7.66582,-5.6082,2.43804,9.80616,0.563467
7.64907,-5.63213,2.51221,9.8255,0.232435
7.60361,-5.63452,2.56245,9.80454,0.132348
7.55337,-5.67759,2.61748,9.80508,0.119409
7.47441,-5.77808,2.68687,9.82203,0.109641
7.32368,-5.84746,2.77539,9.77404,0.082716
7.10835,-5.91445,2.88784,9.68757,0.055892
6.92891,-6.11782,3.0314,9.72763,0.040422
6.85952,-6.44321,3.20127,9.94063,0.028317
6.83799,-6.77339,3.36157,10.195,0.006721
6.81167,-6.98633,3.49795,10.3655,0.009858
6.74946,-7.13706,3.65586,10.4813,0.127763
6.67769,-7.23516,3.78745,10.5491,0.43055
6.67051,-7.35718,3.87119,10.6588,0.963357
6.74707,-7.47441,3.92861,10.8085,1.67741
6.88105,-7.55337,3.95015,10.9547,2.22631
7.00786,-7.51987,3.96929,11.0188,2.14108
7.10117,-7.27822,3.9956,10.9254,1.43006
7.0916,-7.02461,3.998,10.7527,0.627936
7.04375,-6.79014,3.95732,10.5537,0.146981
7.05093,-6.63462,3.89033,10.434,0.001528
7.10117,-6.51499,3.79702,10.358,0.053892
7.15859,-6.36904,3.67021,10.2606,0.190002
7.22798,-6.2207,3.54341,10.1733,0.337991
7.31172,-6.08193,3.40942,10.1032,0.494156
7.40264,-6.02212,3.29219,10.0947,0.681867
7.51269,-5.83789,3.17256,10.0293,0.852424
7.57251,-5.74697,3.06968,9.98967,0.898927
7.58208,-5.6082,3.01226,9.90018,0.822127
7.55098,-5.51729,2.97397,9.81337,0.755047
7.48877,-5.4814,2.95962,9.74098,0.781936
7.44331,-5.53403,2.94526,9.73155,0.803529
7.43613,-5.64888,2.93809,9.7897,0.535489
7.45767,-5.81396,2.91177,9.89431,0.054574
7.45527,-5.96709,2.85674,9.96736,0.301366
7.39307,-6.06758,2.79214,9.96338,1.94379
7.30215,-6.1561,2.72515,9.93204,4.20387
7.23276,-6.27334,2.6438,9.93264,5.15253
7.17056,-6.38818,2.56724,9.94065,3.56797
7.14663,-6.50542,2.51221,9.98529,0.895754
7.18491,-6.62983,2.4811,10.0863,0.047234
7.24233,-6.73032,2.46196,10.1887,0.915455
7.23276,-6.74707,2.45718,10.1918,0.872445
7.16338,-6.71597,2.47871,10.1273,0.347903
7.08203,-6.68726,2.52656,10.0627,0.278632
7.04375,-6.68247,2.55767,10.0405,0.691876
7.04136,-6.70161,2.57681,10.0565,1.43889
7.09399,-6.73989,2.5792,10.1194,2.09925
7.23516,-6.8021,2.55527,10.254,2.63648
7.40264,-6.84038,2.53135,10.3922,2.79402
7.51748,-6.79971,2.5146,10.4437,1.749
7.40742,-6.60352,2.52178,10.2389,0.225537
7.12031,-6.33794,2.55767,9.86965,0.196784
6.85952,-6.1896,2.59834,9.59769,0.651519
6.62744,-6.16567,2.63901,9.42883,0.22263
6.46953,-6.24224,2.67012,9.37816,0.015874
6.42407,-6.37144,2.71318,9.44591,0.24828
6.42647,-6.52456,2.75625,9.5638,0.298287
6.3834,-6.62983,2.81367,9.62389,0.213981
6.20635,-6.62026,2.89263,9.52439,0.164823
5.99341,-6.59394,2.97637,9.39467,0.182051
5.84985,-6.64658,3.07446,9.37284,0.307339
5.73022,-6.72075,3.16777,9.3829,0.595692
5.56035,-6.7064,3.25869,9.3012,1.07289
5.36655,-6.64898,3.34722,9.17674,1.77457
5.22539,-6.71118,3.44292,9.17597,2.39984
5.223,-6.93608,3.49556,9.35991,2.33955
5.26606,-7.16338,3.51948,9.56202,1.65928
5.19668,-7.16816,3.52905,9.53112,0.9142
4.99331,-6.97915,3.5458,9.28517,0.432862
4.81626,-6.88345,3.5147,9.10666,0.297976
4.85693,-7.027,3.43574,9.20722,0.657301
5.00527,-7.14424,3.34004,9.3407,2.15279
5.06748,-6.99351,3.22041,9.21735,4.99216
4.99331,-6.68726,3.10317,8.90406,7.16376
4.82104,-6.24941,2.99311,8.44135,6.21515
4.47173,-5.78047,2.84477,7.84238,3.40539
3.77549,-5.06269,2.75147,6.88881,1.31221
3.06729,-4.53154,2.74668,6.12269,0.308556
2.46675,-4.27315,2.9022,5.72428,0.007542
1.72983,-3.77788,3.33765,5.3296,0.031339
1.30395,-3.32568,3.95015,5.3258,0.074292
1.45469,-2.92134,4.24204,5.35213,0.118396
2.2227,-2.75147,3.94297,5.29698,0.156643
3.54341,-2.78257,2.94526,5.38266,0.163314
5.40005,-3.21802,1.46665,6.45502,0.243058
7.32368,-3.72046,-0.291895,8.21969,0.590459
9.6062,-4.07456,-2.02173,10.6287,1.61326
11.7212,-4.14873,-3.43096,12.8985,3.68478
13.0515,-3.92622,-4.27554,14.2842,5.26216
13.0156,-3.52905,-4.45019,14.2009,3.62798
13.0946,-3.42378,-4.89761,14.3936,0.761256
13.0994,-3.53623,-5.39526,14.6016,0.014538
13.286,-3.99321,-5.80679,15.0393,0.364775
13.3458,-4.36167,-6.0293,15.2803,0.363196
13.487,-4.47651,-6.32837,15.5559,0.151743
13.7956,-4.42866,-6.73989,15.9799,0.085557
14.3507,-4.32578,-7.39307,16.7126,0.181712
14.8459,-4.21572,-8.00078,17.3835,0.335009
14.9823,-4.02432,-8.3477,17.6167,0.253467
14.8005,-3.7396,-8.5104,17.4776,0.04286
14.5852,-3.59365,-8.54629,17.2824,0.012081
13.9846,-3.30415,-8.42188,16.6558,0.052522
13.1113,-2.94526,-8.28311,15.7858,0.000332
12.1328,-2.62944,-8.09648,14.8213,0.153637
11.2379,-2.40454,-7.86919,13.9283,0.421871
10.4819,-2.2873,-7.51748,13.1002,0.283011
9.91245,-2.25381,-7.06768,12.381,0.016757
9.44111,-2.29927,-6.50781,11.695,0.116331
9.23057,-2.42368,-6.00537,11.2757,0.521362
9.29038,-2.56484,-5.7063,11.2005,0.873708
9.56553,-2.67012,-5.63213,11.4171,1.02951
9.86221,-2.67012,-5.6752,11.6876,0.983573
9.95552,-2.49546,-5.69434,11.7373,0.617726
9.77368,-2.18921,-5.6417,11.4955,0.122983
9.36934,-1.86621,-5.55317,11.0501,0.066616
8.92192,-1.56235,-5.47422,10.5834,0.852841
8.45537,-1.30156,-5.30435,10.066,2.18486
7.996,-1.07187,-5.04355,9.51432,3.13946
7.53184,-0.925928,-4.67988,8.91556,3.03802
7.1227,-0.894824,-4.31143,8.37389,1.96118
6.82124,-0.959424,-4.01714,7.97416,0.693622
6.72793,-1.05991,-3.81855,7.80832,0.048508
6.79014,-1.16758,-3.73481,7.83697,0.052038
6.84038,-1.27524,-3.69414,7.87805,0.125719
6.80449,-1.37095,-3.63433,7.83511,0.020356
6.66812,-1.49297,-3.53623,7.694,0.038978
6.46475,-1.60064,-3.39507,7.47539,0.18419
6.31162,-1.6126,-3.2228,7.26798,0.315188
6.16807,-1.59585,-3.10796,7.08881,0.527783
6.01494,-1.57432,-3.01226,6.90881,0.986795
5.91206,-1.57432,-2.91416,6.77667,1.70647
5.87856,-1.65088,-2.76821,6.70417,2.36823
5.91924,-1.78486,-2.59834,6.7063,2.72424
6.02212,-1.94995,-2.36387,6.75693,2.75374
6.18003,-2.08154,-2.08154,6.84532,2.41704
6.40493,-2.11265,-1.76572,6.97167,1.79788
6.73511,-2.09111,-1.34702,7.17976,1.03277
7.18491,-2.02651,-0.791943,7.50712,0.326338
7.71128,-1.88535,-0.143555,7.93971,0.016605
8.39077,-1.71069,0.803906,8.60103,0.007742
8.7688,-2.02412,1.95234,9.20872,0.010053
9.61577,-2.37583,2.66055,10.256,0.124968
9.53442,-3.04336,3.07207,10.4692,1.76108
9.19707,-4.04346,3.38789,10.6025,9.45274
8.66831,-4.87129,3.57212,10.5655,27.3758
7.94336,-6.01255,3.50513,10.5609,53.458
6.59155,-6.54609,3.73003,10.0106,79.4901
5.36655,-6.87866,4.03149,9.61087,97.8885
4.56265,-7.7376,4.51001,10.0513,109.223
4.21333,-8.4147,5.09619,10.7019,122.063
3.76592,-8.83818,5.67998,11.1605,140.96
3.18452,-9.07266,6.00059,11.3341,155.278
2.86152,-9.25928,6.32837,11.5746,146.584
2.67969,-9.27124,6.62266,11.7045,109.745
2.43565,-9.02481,6.74946,11.5297,63.3234
2.32319,-8.93628,7.00547,11.5901,27.264
2.05523,-8.24243,6.81646,10.8915,6.76423
1.85664,-7.78306,6.54131,10.335,0.22504
2.1581,-7.65146,6.57959,10.3196,0.517805
2.2873,-7.39307,6.40493,10.0455,1.60318
2.37105,-7.17773,6.16328,9.75335,5.02994
2.61269,-7.12749,6.01016,9.68242,20.639
2.76582,-7.15381,5.78525,9.60708,65.4108
2.85435,-7.27583,5.52446,9.57103,140.953
2.9668,-7.53184,5.30195,9.67684,211.785
2.95483,-7.77109,5.06987,9.73779,237.414
2.86152,-7.9625,4.8043,9.7299,215.13
2.76821,-8.13955,4.52676,9.71632,172.345
2.71797,-8.35249,4.22051,9.74495,136.977
2.76821,-8.60371,3.91187,9.84833,120.631
